id,prediction,target,prediction1,target1,area,state
1,10000,11000,1,1.1,PA,CA
2,20000,34000,2,3.4,PA,CA
3,30000,38000,3,3.8,SJ,CA
4,20000,15000,2,1.5,SJ,CA
5,10000,12000,1,1.2,SJ,CA
6,30000,32000,3,3.2,SJ,CA
7,10000,11000,1,1.1,PA,TX
8,20000,21000,2,2.1,PA,TX
9,30000,16000,3,1.6,SJ,TX
10,20000,14000,2,1.4,SJ,TX
11,10000,32000,1,3.2,SJ,TX
12,30000,42000,3,4.2,SJ,TX
13,40000,11000,4,1.1,PA,CA
14,20000,34000,2,3.4,PA,CA
15,34000,38000,3.4,3.8,SJ,CA
16,16000,15000,1.6,1.5,SJ,CA
17,11000,12000,1.1,1.2,SJ,CA
18,33000,32000,3.3,3.2,SJ,CA
19,9000,11000,0.9,1.1,PA,TX
20,24000,21000,2.4,2.1,PA,TX
21,18000,16000,1.8,1.6,SJ,TX
22,13000,14000,1.3,1.4,SJ,TX
23,31000,32000,3.1,3.2,SJ,TX
24,43000,42000,4.3,4.2,SJ,TX
